state_code,state_name,date_iso,date_display,agency,title,description,linked_source_url,state_url
AL,Alabama,2025-03-14,3/14/2025,DOJ,DOJ Withdrew From Biden-Era Suit Demanding Race-Based Election Maps,"DOJ withdrew from a Biden-era lawsuit that aimed to require Alabama to use race-based election maps. Confirming that DOJ's position is correct, the Supreme Court ruled in Louisiana v. Callais that drawing election maps based on race is unconstitutional under the Fourteenth Amendment, which guarantees equal protection of the law to all Americans.",https://www.justice.gov/opa/pr/us-department-justice-dismisses-biden-era-lawsuit-against-alabama-order-have-more-secure,https://www.justice.gov/crt/election-integrity-alabama
AL,Alabama,2025-06-20,6/20/2025,DOJ,DOJ Filed a Statement Demanding Judges Not Force States to Draw Race-Based Voting Maps,"DOJ filed a statement of interest in multiple lawsuits that seek to force the state of Alabama to use race-based maps for its congressional elections. Those lawsuits claim that a federal judge must ""pre-clear"" election maps under the Voting Rights Act, and DOJ argued that this is not legally necessary or permitted.",,https://www.justice.gov/crt/election-integrity-alabama
AL,Alabama,2025-07-22,7/22/2025,DOJ,DOJ Inspected Federal Election Records to Ensure Only Eligible Americans Vote With Alabama's Support,"Under the Civil Rights Act of 1960, DOJ is responsible to protect against state malfeasance with respect to all records requisite to voting and may inspect state-held federal election records to ensure their integrity. DOJ requested Alabama's records, and the state cooperated and provided them.",,https://www.justice.gov/crt/election-integrity-alabama
AL,Alabama,2026-04-04,4/4/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,DOJ works for months to ensure all military voters' ballots are counted. DOJ meets with election officials in Alabama months before election day to ensure the State guarantees all military voters are sent ballots not later than 45 days before the election.,,https://www.justice.gov/crt/election-integrity-alabama
AL,Alabama,2026-07-07,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,DOJ notified state officials of their duty to prevent illegal voting. DOJ reminded them that it is a crime to intentionally allow ineligible persons to vote or conspire to interfere with another person's constitutional rights.,,https://www.justice.gov/crt/election-integrity-alabama
AL,Alabama,2026-09-18,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,DOJ works for months to ensure all military voters' ballots are counted. DOJ meets with election officials months before election day to ensure the State guarantees all military voters are sent ballots not later than 45 days before the election.,,https://www.justice.gov/crt/election-integrity-alabama
AK,Alaska,2025-07-02,7/2/2025,DOJ,DOJ Inspected Federal Election Records to Ensure Only Eligible Americans Vote With Alaska's Support,"Under the Civil Rights Act of 1960, DOJ is responsible to protect against malfeasance with respect to all records requisite to voting and may inspect state-held federal election records to ensure their integrity. DOJ requested Alaska's records, and the state cooperated and provided them.",,https://www.justice.gov/crt/election-integrity-alaska
AK,Alaska,2026-07-06,7/6/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,DOJ works for months to ensure all military voters' ballots are counted. DOJ meets with election officials in Alaska months before election day to ensure the State guarantees all military voters are sent ballots not later than 45 days before the election.,,https://www.justice.gov/crt/election-integrity-alaska
AK,Alaska,2026-07-07,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,DOJ notified state officials of their duty to prevent illegal voting. DOJ reminded them that it is a crime to intentionally allow ineligible persons to vote or conspire to interfere with another person's constitutional rights.,,https://www.justice.gov/crt/election-integrity-alaska
AK,Alaska,2026-09-18,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,DOJ works for months to ensure all military voters' ballots are counted. DOJ meets with election officials months before election day to ensure the State guarantees all military voters are sent ballots not later than 45 days before the election.,,https://www.justice.gov/crt/election-integrity-alaska
AZ,Arizona,2025-05-20,5/20/2025,DOJ,DOJ Sent Arizona a Letter Demanding the State Require Voters Provide ID Information When They Register,Section 303 of the Help America Vote Act requires voter registration applicants provide personal identifying information for voter verification. DOJ sent Arizona a letter demanding change to its voter registration application to reflect this requirement.,,https://www.justice.gov/crt/election-integrity-arizona
AZ,Arizona,2026-01-06,1/6/2026,DOJ,DOJ Sued Arizona for Failing to Provide Federal Election Records,"Under the Civil Rights Act of 1960, DOJ is responsible to protect against malfeasance with respect to all records requisite to voting and may inspect state-held federal election records to ensure their integrity. DOJ requested Arizona's records, but the state refused to provide them. DOJ then sued to obtain the records.",https://www.justice.gov/opa/pr/justice-department-sues-arizona-and-connecticut-failure-produce-voter-rolls,https://www.justice.gov/crt/election-integrity-arizona
AZ,Arizona,2026-06-06,6/6/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,DOJ works for months to ensure all military voters' ballots are counted. DOJ meets with election officials in Arizona months before election day to ensure the State guarantees all military voters are sent ballots not later than 45 days before the election.,,https://www.justice.gov/crt/election-integrity-arizona
